"","gene_name","gene_alias","gene_title","chr","map"
"LSM14A","LSM14A","LSM14A","LSM14A, mRNA processing body assembly factor","19","19q13.11"
"LSM14B","LSM14B","LSM14B","LSM family member 14B","20","20q13.33"
"LSM2","LSM2","LSM2","LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated","6","6p21.33"
"LSM3","LSM3","LSM3","LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated","3","3p25.1"
"LSM4","LSM4","LSM4","LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated","19","19p13.11"
"LSM5","LSM5","LSM5","LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated","7","7p14.3"
"LSM6","LSM6","LSM6","LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated","4","4q31.22"
"LSM7","LSM7","LSM7","LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated","19","19p13.3"
"LSMD1","LSMD1","LSMD1",NA,NA,NA
"LSP1","LSP1","LSP1","lymphocyte specific protein 1","11","11p15.5"
"LSR","LSR","LSR","lipolysis stimulated lipoprotein receptor","19","19q13.12"
"LSS","LSS","LSS","lanosterol synthase","21","21q22.3"
"LTA","LTA","LTA","lymphotoxin alpha","6","6p21.33"
"LTA4H","LTA4H","LTA4H","leukotriene A4 hydrolase","12","12q23.1"
"LTB","LTB","LTB","lymphotoxin beta","6","6p21.33"
"LTBP3","LTBP3","LTBP3","latent transforming growth factor beta binding protein 3","11","11q13.1"
"LTF","LTF","LTF","lactotransferrin","3","3p21.31"
"LTN1","LTN1","LTN1","listerin E3 ubiquitin protein ligase 1","21","21q21.3"
"LTV1","LTV1","LTV1","LTV1 ribosome biogenesis factor","6","6q24.2"
"LUC7L","LUC7L","LUC7L","LUC7 like","16","16p13.3"
"LUC7L2","LUC7L2","LUC7L2","LUC7 like 2, pre-mRNA splicing factor","7","7q34"
"LUC7L3","LUC7L3","LUC7L3","LUC7 like 3 pre-mRNA splicing factor","17","17q21.33"
"LUM","LUM","LUM","lumican","12","12q21.33"
"LUZP1","LUZP1","LUZP1","leucine zipper protein 1","1","1p36.12"
"LXN","LXN","LXN","latexin","3","3q25.32"
"LY75","LY75","LY75","lymphocyte antigen 75","2","2q24.2"
"LY9","LY9","LY9","lymphocyte antigen 9","1","1q23.3"
"LYAR","LYAR","LYAR","Ly1 antibody reactive","4","4p16.3"
"LYPLA1","LYPLA1","LYPLA1","lysophospholipase I","8","8q11.23"
"LYPLA2","LYPLA2","LYPLA2","lysophospholipase II","1","1p36.11"
"LYPLAL1","LYPLAL1","LYPLAL1","lysophospholipase like 1","1","1q41"
"LYRM4","LYRM4","LYRM4","LYR motif containing 4","6","6p25.1"
"LYRM5","LYRM5","LYRM5",NA,NA,NA
"LYRM7","LYRM7","LYRM7","LYR motif containing 7","5","5q23.3-q31.1"
"LYSMD2","LYSMD2","LYSMD2","LysM domain containing 2","15","15q21.2"
"LYST","LYST","LYST","lysosomal trafficking regulator","1","1q42.3"
"LYZ","LYZ","LYZ","lysozyme","12","12q15"
"LZIC","LZIC","LZIC","leucine zipper and CTNNBIP1 domain containing","1","1p36.22"
"LZTFL1","LZTFL1","LZTFL1","leucine zipper transcription factor like 1","3","3p21.31"
"LZTR1","LZTR1","LZTR1","leucine zipper like transcription regulator 1","22","22q11.21"
"M6PR","M6PR","M6PR","mannose-6-phosphate receptor, cation dependent","12","12p13.31"
"MACF1","MACF1","MACF1","microtubule-actin crosslinking factor 1","1","1p34.3"
"MACROD1","MACROD1","MACROD1","MACRO domain containing 1","11","11q13.1"
"MAD1L1","MAD1L1","MAD1L1","mitotic arrest deficient 1 like 1","7","7p22.3"
"MAD2L1","MAD2L1","MAD2L1","mitotic arrest deficient 2 like 1","4","4q27"
"MAD2L1BP","MAD2L1BP","MAD2L1BP","MAD2L1 binding protein","6","6p21.1"
"MAD2L2","MAD2L2","MAD2L2","mitotic arrest deficient 2 like 2","1","1p36.22"
"MADD","MADD","MADD","MAP kinase activating death domain","11","11p11.2"
"MAEA","MAEA","MAEA","macrophage erythroblast attacher","4","4p16.3"
"MAF1","MAF1","MAF1","MAF1 homolog, negative regulator of RNA polymerase III","8","8q24.3"
"MAFF","MAFF","MAFF","MAF bZIP transcription factor F","22","22q13.1"
"MAFG","MAFG","MAFG","MAF bZIP transcription factor G","17","17q25.3"
"MAFK","MAFK","MAFK","MAF bZIP transcription factor K","7","7p22.3"
"MAGED1","MAGED1","MAGED1","MAGE family member D1","X","Xp11.22"
"MAGED2","MAGED2","MAGED2","MAGE family member D2","X","Xp11.21"
"MAGOH","MAGOH","MAGOH;MAGOHB","mago homolog, exon junction complex subunit","1","1p32.3"
"MAGOHB","MAGOHB","MAGOHB","mago homolog B, exon junction complex subunit","12","12p13.2"
"MAGT1","MAGT1","MAGT1","magnesium transporter 1","X","Xq21.1"
"MAK16","MAK16","MAK16","MAK16 homolog","8","8p12"
"MALSU1","MALSU1","MALSU1","mitochondrial assembly of ribosomal large subunit 1","7","7p15.3"
"MALT1","MALT1","MALT1","MALT1 paracaspase","18","18q21.32"
"MAML2","MAML2","MAML2","mastermind like transcriptional coactivator 2","11","11q21"
"MAN1A1","MAN1A1","MAN1A1","mannosidase alpha class 1A member 1","6","6q22.31"
"MAN1A2","MAN1A2","MAN1A2","mannosidase alpha class 1A member 2","1","1p12"
"MAN1B1","MAN1B1","MAN1B1","mannosidase alpha class 1B member 1","9","9q34.3"
"MAN1C1","MAN1C1","MAN1C1","mannosidase alpha class 1C member 1","1","1p36.11"
"MAN2A1","MAN2A1","MAN2A1","mannosidase alpha class 2A member 1","5","5q21.3"
"MAN2B1","MAN2B1","MAN2B1","mannosidase alpha class 2B member 1","19","19p13.13"
"MAN2B2","MAN2B2","MAN2B2","mannosidase alpha class 2B member 2","4","4p16.1"
"MAN2C1","MAN2C1","MAN2C1","mannosidase alpha class 2C member 1","15","15q24.2"
"MANBA","MANBA","MANBA","mannosidase beta","4","4q24"
"MANF","MANF","MANF","mesencephalic astrocyte derived neurotrophic factor","3","3p21.2"
"MAP1A","MAP1A","MAP1A","microtubule associated protein 1A","15","15q15.3"
"MAP1LC3B","MAP1LC3B","MAP1LC3B;MAP1LC3B2;MAP1LC3A","microtubule associated protein 1 light chain 3 beta","16","16q24.2"
"MAP1S","MAP1S","MAP1S","microtubule associated protein 1S","19","19p13.11"
"MAP2K1","MAP2K1","MAP2K1","mitogen-activated protein kinase kinase 1","15","15q22.31"
"MAP2K2","MAP2K2","MAP2K2","mitogen-activated protein kinase kinase 2","19","19p13.3"
"MAP2K3","MAP2K3","MAP2K3","mitogen-activated protein kinase kinase 3","17","17p11.2"
"MAP2K4","MAP2K4","MAP2K4","mitogen-activated protein kinase kinase 4","17","17p12"
"MAP2K5","MAP2K5","MAP2K5","mitogen-activated protein kinase kinase 5","15","15q23"
"MAP2K6","MAP2K6","MAP2K6","mitogen-activated protein kinase kinase 6","17","17q24.3"
"MAP2K7","MAP2K7","MAP2K7","mitogen-activated protein kinase kinase 7","19","19p13.2"
"MAP3K1","MAP3K1","MAP3K1","mitogen-activated protein kinase kinase kinase 1","5","5q11.2"
"MAP3K2","MAP3K2","MAP3K2","mitogen-activated protein kinase kinase kinase 2","2","2q14.3"
"MAP3K3","MAP3K3","MAP3K3","mitogen-activated protein kinase kinase kinase 3","17","17q23.3"
"MAP3K4","MAP3K4","MAP3K4","mitogen-activated protein kinase kinase kinase 4","6","6q26"
"MAP3K5","MAP3K5","MAP3K5","mitogen-activated protein kinase kinase kinase 5","6","6q23.3"
"MAP3K7","MAP3K7","MAP3K7;DKFZp586F0420","mitogen-activated protein kinase kinase kinase 7","6","6q15"
"MAP4","MAP4","MAP4","microtubule associated protein 4","3","3p21.31"
"MAP4K1","MAP4K1","MAP4K1","mitogen-activated protein kinase kinase kinase kinase 1","19","19q13.2"
"MAP4K2","MAP4K2","MAP4K2","mitogen-activated protein kinase kinase kinase kinase 2","11","11q13.1"
"MAP4K4","MAP4K4","MAP4K4","mitogen-activated protein kinase kinase kinase kinase 4","2","2q11.2"
"MAP4K5","MAP4K5","MAP4K5","mitogen-activated protein kinase kinase kinase kinase 5","14","14q22.1"
"MAP7","MAP7","MAP7","microtubule associated protein 7","6","6q23.3"
"MAP7D1","MAP7D1","MAP7D1","MAP7 domain containing 1","1","1p34.3"
"MAP7D3","MAP7D3","MAP7D3","MAP7 domain containing 3","X","Xq26.3"
"MAP9","MAP9","MAP9","microtubule associated protein 9","4","4q32.1"
"MAPK1","MAPK1","MAPK1","mitogen-activated protein kinase 1","22","22q11.22"
"MAPK13","MAPK13","MAPK13","mitogen-activated protein kinase 13","6","6p21.31"
"MAPK14","MAPK14","MAPK14","mitogen-activated protein kinase 14","6","6p21.31"
"MAPK15","MAPK15","MAPK15","mitogen-activated protein kinase 15","8",NA
"MAPK1IP1L","MAPK1IP1L","MAPK1IP1L","mitogen-activated protein kinase 1 interacting protein 1 like","14","14q22.3"
"MAPK3","MAPK3","MAPK3","mitogen-activated protein kinase 3","16","16p11.2"
"MAPK7","MAPK7","MAPK7","mitogen-activated protein kinase 7","17","17p11.2"
"MAPK8","MAPK8","MAPK8","mitogen-activated protein kinase 8","10","10q11.22"
"MAPK9","MAPK9","MAPK9","mitogen-activated protein kinase 9","5","5q35.3"
"MAPKAP1","MAPKAP1","MAPKAP1","mitogen-activated protein kinase associated protein 1","9","9q33.3"
"MAPKAPK2","MAPKAPK2","MAPKAPK2","mitogen-activated protein kinase-activated protein kinase 2","1","1q32.1"
"MAPKAPK3","MAPKAPK3","MAPKAPK3","mitogen-activated protein kinase-activated protein kinase 3","3","3p21.2"
"MAPKAPK5","MAPKAPK5","MAPKAPK5","mitogen-activated protein kinase-activated protein kinase 5","12","12q24.12-q24.13"
"MAPRE1","MAPRE1","MAPRE1","microtubule associated protein RP/EB family member 1","20","20q11.21"
"MAPRE2","MAPRE2","MAPRE2","microtubule associated protein RP/EB family member 2","18","18q12.1-q12.2"
"MAPRE3","MAPRE3","MAPRE3","microtubule associated protein RP/EB family member 3","2","2p23.3"
"MAPT","MAPT","MAPT","microtubule associated protein tau","17","17q21.31"
"MARCH5","MARCH5","MARCH5","membrane associated ring-CH-type finger 5","10","10q23.32-q23.33"
"MARCKSL1","MARCKSL1","MARCKSL1","MARCKS like 1","1","1p35.1"
"MARK2","MARK2","MARK2","microtubule affinity regulating kinase 2","11","11q13.1"
"MARK3","MARK3","MARK3","microtubule affinity regulating kinase 3","14","14q32.32-q32.33"
"MARS","MARS","MARS","methionyl-tRNA synthetase","12","12q13.3"
"MARS2","MARS2","MARS2","methionyl-tRNA synthetase 2, mitochondrial","2","2q33.1"
"MAST3","MAST3","MAST3","microtubule associated serine/threonine kinase 3","19","19p13.11"
"MAST4","MAST4","MAST4","microtubule associated serine/threonine kinase family member 4","5","5q12.3"
"MASTL","MASTL","MASTL","microtubule associated serine/threonine kinase like","10","10p12.1"
"MAT2A","MAT2A","MAT2A","methionine adenosyltransferase 2A","2","2p11.2"
"MAT2B","MAT2B","MAT2B","methionine adenosyltransferase 2B","5","5q34"
"MATK","MATK","MATK","megakaryocyte-associated tyrosine kinase","19","19p13.3"
"MATR3","MATR3","MATR3","matrin 3","5","5q31.2"
"MAU2","MAU2","MAU2","MAU2 sister chromatid cohesion factor","19","19p13.11"
"MAVS","MAVS","MAVS","mitochondrial antiviral signaling protein","20","20p13"
"MAX","MAX","MAX","MYC associated factor X","14","14q23.3"
"MB21D1","MB21D1","MB21D1;C6orf150",NA,NA,NA
"MBD1","MBD1","MBD1","methyl-CpG binding domain protein 1","18","18q21.1"
"MBD2","MBD2","MBD2","methyl-CpG binding domain protein 2","18","18q21.2"
"MBD3","MBD3","MBD3","methyl-CpG binding domain protein 3","19","19p13.3"
"MBIP","MBIP","MBIP","MAP3K12 binding inhibitory protein 1","14","14q13.3"
"MBL2","MBL2","MBL2","mannose binding lectin 2","10","10q21.1"
"MBLAC1","MBLAC1","MBLAC1","metallo-beta-lactamase domain containing 1","7","7q22.1"
"MBLAC2","MBLAC2","MBLAC2","metallo-beta-lactamase domain containing 2","5","5q14.3"
"MBNL1","MBNL1","MBNL1","muscleblind like splicing regulator 1","3","3q25.1-q25.2"
"MBNL2","MBNL2","MBNL2;MBLL","muscleblind like splicing regulator 2","13","13q32.1"
"MBOAT7","MBOAT7","MBOAT7;LENG4","membrane bound O-acyltransferase domain containing 7","19","19q13.42"
"MBP","MBP","MBP","myelin basic protein","18","18q23"
"MCAT","MCAT","MCAT","malonyl-CoA-acyl carrier protein transacylase","22","22q13.2"
"MCC","MCC","MCC","MCC, WNT signaling pathway regulator","5","5q22.2"
"MCCC1","MCCC1","MCCC1","methylcrotonoyl-CoA carboxylase 1","3","3q27.1"
"MCCC2","MCCC2","MCCC2","methylcrotonoyl-CoA carboxylase 2","5","5q13.2"
"MCEE","MCEE","MCEE","methylmalonyl-CoA epimerase","2","2p13.3"
"MCFD2","MCFD2","MCFD2","multiple coagulation factor deficiency 2","2","2p21"
"MCL1","MCL1","MCL1","MCL1, BCL2 family apoptosis regulator","1","1q21.2"
"MCM2","MCM2","MCM2","minichromosome maintenance complex component 2","3","3q21.3"
"MCM3","MCM3","MCM3","minichromosome maintenance complex component 3","6","6p12.2"
"MCM3AP","MCM3AP","MCM3AP","minichromosome maintenance complex component 3 associated protein","21","21q22.3"
"MCM4","MCM4","MCM4","minichromosome maintenance complex component 4","8","8q11.21"
"MCM5","MCM5","MCM5","minichromosome maintenance complex component 5","22","22q12.3"
"MCM6","MCM6","MCM6","minichromosome maintenance complex component 6","2","2q21.3"
"MCM7","MCM7","MCM7","minichromosome maintenance complex component 7","7","7q22.1"
"MCM8","MCM8","MCM8","minichromosome maintenance 8 homologous recombination repair factor","20","20p12.3"
"MCRS1","MCRS1","MCRS1;DKFZp686N07218","microspherule protein 1","12","12q13.12"
"MCTS1","MCTS1","MCTS1","MCTS1, re-initiation and release factor","X","Xq24"
"MCU","MCU","MCU","mitochondrial calcium uniporter","10","10q22.1"
"MDC1","MDC1","MDC1","mediator of DNA damage checkpoint 1","6","6p21.33"
"MDFIC","MDFIC","MDFIC","MyoD family inhibitor domain containing","7","7q31.1-q31.2"
"MDH1","MDH1","MDH1","malate dehydrogenase 1","2","2p15"
"MDH2","MDH2","MDH2","malate dehydrogenase 2","7","7q11.23"
"MDM1","MDM1","MDM1","Mdm1 nuclear protein","12","12q15"
"MDN1","MDN1","MDN1","midasin AAA ATPase 1","6","6q15"
"ME1","ME1","ME1","malic enzyme 1","6","6q14.2"
"ME2","ME2","ME2","malic enzyme 2","18","18q21.2"
"MEA1","MEA1","MEA1","male-enhanced antigen 1","6","6p21.1"
"MEAF6","MEAF6","MEAF6;C1orf149","MYST/Esa1 associated factor 6","1","1p34.3"
"MECP2","MECP2","MECP2","methyl-CpG binding protein 2","X","Xq28"
"MECR","MECR","MECR","mitochondrial trans-2-enoyl-CoA reductase","1","1p35.3"
"MED1","MED1","MED1","mediator complex subunit 1","17","17q12"
"MED10","MED10","MED10","mediator complex subunit 10","5","5p15.31"
"MED11","MED11","MED11","mediator complex subunit 11","17","17p13.2"
"MED12","MED12","MED12","mediator complex subunit 12","X","Xq13.1"
"MED13","MED13","MED13","mediator complex subunit 13","17","17q23.2"
"MED13L","MED13L","MED13L","mediator complex subunit 13 like","12","12q24.21"
"MED14","MED14","MED14","mediator complex subunit 14","X","Xp11.4"
"MED15","MED15","MED15","mediator complex subunit 15","22","22q11.21"
"MED16","MED16","MED16","mediator complex subunit 16","19","19p13.3"
"MED17","MED17","MED17","mediator complex subunit 17","11","11q21"
"MED18","MED18","MED18","mediator complex subunit 18","1","1p35.3"
"MED19","MED19","MED19","mediator complex subunit 19","11","11q12.1"
"MED20","MED20","MED20;TRFP","mediator complex subunit 20","6","6p21.1"
"MED21","MED21","MED21","mediator complex subunit 21","12","12p11.23"
"MED22","MED22","MED22","mediator complex subunit 22","9","9q34.2"
"MED23","MED23","MED23;CRSP3","mediator complex subunit 23","6","6q23.2"
"MED24","MED24","MED24","mediator complex subunit 24","17","17q21.1"
"MED25","MED25","MED25","mediator complex subunit 25","19","19q13.33"
"MED27","MED27","MED27","mediator complex subunit 27","9","9q34.13"
"MED28","MED28","MED28","mediator complex subunit 28","4","4p15.32"
"MED29","MED29","MED29","mediator complex subunit 29","19","19q13.2"
"MED30S","MED30S","MED30S;MED30",NA,NA,NA
"MED31","MED31","MED31","mediator complex subunit 31","17","17p13.1"
"MED4","MED4","MED4","mediator complex subunit 4","13","13q14.2"
"MED6","MED6","MED6","mediator complex subunit 6","14","14q24.2"
"MED8","MED8","MED8","mediator complex subunit 8","1","1p34.2"
"MED9","MED9","MED9","mediator complex subunit 9","17","17p11.2"
"MEF2A","MEF2A","MEF2A","myocyte enhancer factor 2A","15","15q26.3"
"MEF2BNB","MEF2BNB","MEF2BNB",NA,NA,NA
"MEF2D","MEF2D","MEF2D","myocyte enhancer factor 2D","1","1q22"
"MELK","MELK","MELK","maternal embryonic leucine zipper kinase","9","9p13.2"
"MEMO1","MEMO1","MEMO1;C2orf4","Methylation modifier for class I HLA","1","1p36.1-p35"
"MEN1","MEN1","MEN1","menin 1","11","11q13.1"
"MEPCE","MEPCE","MEPCE","methylphosphate capping enzyme","7","7q22.1"
"MESDC2","MESDC2","MESDC2",NA,NA,NA
"METAP1","METAP1","METAP1","methionyl aminopeptidase 1","4","4q23"
"METAP1D","METAP1D","METAP1D","methionyl aminopeptidase type 1D, mitochondrial","2","2q31.1"
"METAP2","METAP2","METAP2","methionyl aminopeptidase 2","12","12q22"
"METTL1","METTL1","METTL1","methyltransferase like 1","12","12q14.1"
"METTL10","METTL10","METTL10",NA,NA,NA
"METTL12","METTL12","METTL12",NA,NA,NA
"METTL13","METTL13","METTL13",NA,NA,NA
"METTL14","METTL14","METTL14","methyltransferase like 14","4","4q26"
"METTL15","METTL15","METTL15","methyltransferase like 15","11","11p14.1"
"METTL16","METTL16","METTL16","methyltransferase like 16","17","17p13.3"
"METTL17","METTL17","METTL17","methyltransferase like 17","14","14q11.2"
"METTL18","METTL18","METTL18","methyltransferase like 18","1","1q24.2"
"METTL21A","METTL21A","METTL21A","methyltransferase like 21A","2","2q33.3"
"METTL2B","METTL2B","METTL2B","methyltransferase like 2B","7","7q32.1"
"METTL3","METTL3","METTL3","methyltransferase like 3","14","14q11.2"
"METTL5","METTL5","METTL5","methyltransferase like 5","2","2q31.1"
"METTL9","METTL9","METTL9","methyltransferase like 9","16","16p12.2"
"MEX3C","MEX3C","MEX3C","mex-3 RNA binding family member C","18","18q21.2"
"MEX3D","MEX3D","MEX3D","mex-3 RNA binding family member D","19","19p13.3"
"MFAP1","MFAP1","MFAP1","microfibril associated protein 1","15","15q15.3"
"MFF","MFF","MFF","mitochondrial fission factor","2","2q36.3"
"MFHAS1","MFHAS1","MFHAS1","malignant fibrous histiocytoma amplified sequence 1","8","8p23.1"
"MFN1","MFN1","MFN1","mitofusin 1","3","3q26.33"
"MFN2","MFN2","MFN2","mitofusin 2","1","1p36.22"
"MFSD10","MFSD10","MFSD10","major facilitator superfamily domain containing 10","4","4p16.3"
"MFSD5","MFSD5","MFSD5","major facilitator superfamily domain containing 5","12","12q13.13"
"MFSD6","MFSD6","MFSD6","major facilitator superfamily domain containing 6","2","2q32.2"
"MGA","MGA","MGA","MGA, MAX dimerization protein","15","15q15.1"
"MGAT1","MGAT1","MGAT1","mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase","5","5q35.3"
"MGAT2","MGAT2","MGAT2","mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase","14","14q21.3"
"MGAT4A","MGAT4A","MGAT4A","alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A","2","2q11.2"
"MGAT5","MGAT5","MGAT5","alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase","2","2q21.2-q21.3"
"MGEA5","MGEA5","MGEA5",NA,NA,NA
"MGMT","MGMT","MGMT","O-6-methylguanine-DNA methyltransferase","10","10q26.3"
"MGST2","MGST2","MGST2","microsomal glutathione S-transferase 2","4","4q31.1"
"MGST3","MGST3","MGST3","microsomal glutathione S-transferase 3","1","1q24.1"
"MIA3","MIA3","MIA3","MIA SH3 domain ER export factor 3","1","1q41"
"MIB1","MIB1","MIB1","mindbomb E3 ubiquitin protein ligase 1","18","18q11.2"
"MICAL1","MICAL1","MICAL1","microtubule associated monooxygenase, calponin and LIM domain containing 1","6","6q21"
"MICAL2","MICAL2","MICAL2","microtubule associated monooxygenase, calponin and LIM domain containing 2","11","11p15.3"
"MICAL3","MICAL3","MICAL3","microtubule associated monooxygenase, calponin and LIM domain containing 3","22","22q11.21"
"MICALL1","MICALL1","MICALL1","MICAL like 1","22","22q13.1"
"MICU1","MICU1","MICU1","mitochondrial calcium uptake 1","10","10q22.1"
"MID1IP1","MID1IP1","MID1IP1","MID1 interacting protein 1","X","Xp11.4"
"MIEN1","MIEN1","MIEN1","migration and invasion enhancer 1","17","17q12"
"MIER1","MIER1","MIER1","MIER1 transcriptional regulator","1","1p31.3"
"MIER2","MIER2","MIER2","MIER family member 2","19","19p13.3"
"MIER3","MIER3","MIER3","MIER family member 3","5","5q11.2"
"MIF","MIF","MIF","macrophage migration inhibitory factor","22","22q11.23"
"MIF4GD","MIF4GD","MIF4GD","MIF4G domain containing","17","17q25.1"
"MIIP","MIIP","MIIP","migration and invasion inhibitory protein","1","1p36.22"
"MINA","MINA","MINA",NA,NA,NA
"MINK1","MINK1","MINK1","misshapen like kinase 1","17","17p13.2"
"MINPP1","MINPP1","MINPP1","multiple inositol-polyphosphate phosphatase 1","10","10q23.2"
"MIOS","MIOS","MIOS","meiosis regulator for oocyte development","7","7p21.3"
"MIPEP","MIPEP","MIPEP","mitochondrial intermediate peptidase","13","13q12.12"
"MIS12","MIS12","MIS12","MIS12, kinetochore complex component","17","17p13.2"
"MIS18A","MIS18A","MIS18A","MIS18 kinetochore protein A","21","21q22.11"
"MIS18BP1","MIS18BP1","MIS18BP1","MIS18 binding protein 1","14","14q21.2"
"MITD1","MITD1","MITD1","microtubule interacting and trafficking domain containing 1","2","2q11.2"
"MKI67","MKI67","MKI67","marker of proliferation Ki-67","10","10q26.2"
"MKI67IP","MKI67IP","MKI67IP",NA,NA,NA
"MKL1","MKL1","MKL1",NA,NA,NA
"MKL2","MKL2","MKL2",NA,NA,NA
"MKLN1","MKLN1","MKLN1","muskelin 1","7","7q32.3"
"MKNK1","MKNK1","MKNK1;DKFZp686E14208","MAP kinase interacting serine/threonine kinase 1","1","1p33"
"MKRN1","MKRN1","MKRN1","makorin ring finger protein 1","7","7q34"
"MKRN2","MKRN2","MKRN2","makorin ring finger protein 2","3","3p25.2"
"MLEC","MLEC","MLEC","malectin","12","12q24.31"
"MLF1IP","MLF1IP","MLF1IP",NA,NA,NA
"MLF2","MLF2","MLF2","myeloid leukemia factor 2","12","12p13.31"
"MLH1","MLH1","MLH1","mutL homolog 1","3","3p22.2"
"MLKL","MLKL","MLKL","mixed lineage kinase domain like pseudokinase","16","16q23.1"
"MLL","MLL","MLL",NA,NA,NA
"MLL2","MLL2","MLL2",NA,NA,NA
"MLL3","MLL3","MLL3",NA,NA,NA
"MLL5","MLL5","MLL5",NA,NA,NA
"MLLT1","MLLT1","MLLT1","MLLT1, super elongation complex subunit","19","19p13.3"
"MLLT11","MLLT11","MLLT11","MLLT11, transcription factor 7 cofactor","1","1q21.3"
